Ticker,Date,Time,Open,High,Low,Close,Volume,OpenInterest 
BANKNIFTY-I,2016-08-01,10:04:59,19101.3496,19101.3496,19095.1504,19097.3496,8120,1879680
BANKNIFTY-I,2016-08-01,10:05:59,19098.0000,19104.6504,19097.1992,19100.0996,3080,1879680
BANKNIFTY-I,2016-08-01,10:06:59,19100.1504,19105.0000,19100.0000,19104.4492,2640,1882280
BANKNIFTY-I,2016-08-01,10:07:59,19104.4492,19110.0000,19102.0000,19104.9004,6760,1882280
BANKNIFTY-I,2016-08-01,10:08:59,19104.9004,19104.9004,19099.9004,19099.9004,3920,1882280
BANKNIFTY-I,2016-08-01,10:09:59,19100.4492,19100.4492,19095.0000,19096.7500,6040,1885040
BANKNIFTY-I,2016-08-01,10:10:59,19096.7500,19100.2500,19096.7500,19100.0000,1920,1885040
BANKNIFTY-I,2016-08-01,10:11:59,19100.0000,19100.0000,19086.0000,19086.6992,10840,1885040
BANKNIFTY-I,2016-08-01,10:12:59,19086.6504,19100.0000,19086.0000,19100.0000,4160,1888920
BANKNIFTY-I,2016-08-01,10:13:59,19100.0000,19108.0996,19098.1504,19102.0000,3320,1888920
BANKNIFTY-I,2016-08-01,10:14:59,19102.0000,19105.0000,19100.0000,19100.8496,1920,1888920
BANKNIFTY-I,2016-08-01,10:15:59,19100.8496,19107.1504,19100.0508,19106.9004,1600,1890480
BANKNIFTY-I,2016-08-01,10:16:59,19105.0508,19116.0000,19103.9004,19112.0000,3280,1890480
BANKNIFTY-I,2016-08-01,10:17:59,19113.8496,19113.8496,19106.0000,19106.9492,1720,1890480
BANKNIFTY-I,2016-08-01,10:18:59,19106.9004,19111.9492,19106.0000,19109.9004,1520,1891520
BANKNIFTY-I,2016-08-01,10:19:59,19109.0508,19111.9492,19097.0508,19097.0508,3480,1891520
BANKNIFTY-I,2016-08-01,10:20:59,19095.0000,19107.4492,19095.0000,19106.0000,1720,1891520
BANKNIFTY-I,2016-08-01,10:21:59,19106.1992,19123.0000,19106.1992,19123.0000,6960,1893120
BANKNIFTY-I,2016-08-01,10:22:59,19123.9004,19124.8008,19112.0000,19124.5996,7440,1893120
BANKNIFTY-I,2016-08-01,10:23:59,19123.0000,19125.0000,19120.0000,19121.5508,5760,1893120
BANKNIFTY-I,2016-08-01,10:24:59,19121.5508,19121.5508,19115.2500,19118.0508,1680,1893120
BANKNIFTY-I,2016-08-01,10:25:59,19117.0996,19122.2500,19116.0000,19119.9492,2320,1893120
BANKNIFTY-I,2016-08-01,10:26:59,19119.9492,19120.0000,19115.0000,19117.6992,1520,1893120
BANKNIFTY-I,2016-08-01,10:27:59,19117.6992,19117.7500,19115.0000,19115.0000,1120,1892800
BANKNIFTY-I,2016-08-01,10:28:59,19115.0000,19117.6992,19114.0000,19115.0000,1160,1892800
BANKNIFTY-I,2016-08-01,10:29:59,19115.1992,19121.1504,19114.9004,19119.6992,3520,1892800
BANKNIFTY-I,2016-08-01,10:30:59,19119.6992,19121.5000,19116.1992,19120.3008,2120,1893200
BANKNIFTY-I,2016-08-01,10:31:59,19117.8496,19117.8496,19115.0000,19115.5000,2520,1893200
BANKNIFTY-I,2016-08-01,10:32:59,19115.5000,19116.9492,19112.9492,19113.8496,2560,1893200
BANKNIFTY-I,2016-08-01,10:33:59,19117.5508,19119.7500,19112.1504,19117.9004,2160,1893240
BANKNIFTY-I,2016-08-01,10:34:59,19117.9004,19120.0000,19115.0000,19115.0000,1960,1893240
BANKNIFTY-I,2016-08-01,10:35:59,19115.0000,19118.5996,19112.0000,19112.0000,600,1893240
BANKNIFTY-I,2016-08-01,10:36:59,19113.2500,19117.9004,19113.0000,19113.0000,1840,1894280
BANKNIFTY-I,2016-08-01,10:37:59,19113.0000,19113.0000,19102.0000,19107.6992,5280,1894280
BANKNIFTY-I,2016-08-01,10:38:59,19105.0000,19110.0000,19105.0000,19105.0000,1400,1894280
BANKNIFTY-I,2016-08-01,10:39:59,19106.4004,19106.4004,19101.0000,19101.0000,1280,1896600
BANKNIFTY-I,2016-08-01,10:40:59,19101.0000,19103.0000,19100.0000,19101.0000,2080,1896600
BANKNIFTY-I,2016-08-01,10:41:59,19101.0000,19108.3496,19100.3008,19108.3496,1840,1896600
BANKNIFTY-I,2016-08-01,10:42:59,19108.3496,19114.9492,19106.0508,19110.0000,1760,1897240
BANKNIFTY-I,2016-08-01,10:43:59,19106.9004,19110.9004,19106.0000,19110.9004,1160,1897240
BANKNIFTY-I,2016-08-01,10:44:59,19110.9004,19114.9004,19109.0000,19113.3008,1160,1897240
BANKNIFTY-I,2016-08-01,10:45:59,19113.3008,19113.3008,19103.0000,19105.8008,1480,1898280
BANKNIFTY-I,2016-08-01,10:46:59,19105.8008,19105.8008,19075.0000,19075.0000,20880,1898280
BANKNIFTY-I,2016-08-01,10:47:59,19080.0000,19085.0000,19080.0000,19083.5000,9200,1898280
BANKNIFTY-I,2016-08-01,10:48:59,19082.8008,19089.9492,19082.1504,19089.9492,11000,1887240
BANKNIFTY-I,2016-08-01,10:49:59,19090.4004,19092.0000,19086.0508,19089.7500,2640,1887240
BANKNIFTY-I,2016-08-01,10:50:59,19090.0000,19097.5508,19086.0000,19087.9492,4160,1887240
BANKNIFTY-I,2016-08-01,10:51:59,19087.9492,19096.8008,19085.3008,19085.3008,3040,1887320
BANKNIFTY-I,2016-08-01,10:52:59,19085.3008,19090.8496,19084.0000,19087.5996,3360,1887320
BANKNIFTY-I,2016-08-01,10:53:59,19087.0000,19091.4004,19087.0000,19087.8008,1760,1887320
BANKNIFTY-I,2016-08-01,10:54:59,19087.8008,19087.9004,19084.0000,19085.5508,1080,1890360
BANKNIFTY-I,2016-08-01,10:55:59,19085.5508,19087.6504,19082.0508,19087.6504,2760,1890360
BANKNIFTY-I,2016-08-01,10:56:59,19087.6504,19092.9492,19082.1992,19091.2500,3120,1890360
BANKNIFTY-I,2016-08-01,10:57:59,19091.2500,19091.9004,19086.4492,19090.6504,1560,1890840
BANKNIFTY-I,2016-08-01,10:58:59,19091.1504,19095.0000,19086.0000,19090.0000,2440,1890840
BANKNIFTY-I,2016-08-01,10:59:59,19090.0000,19095.8496,19090.0000,19094.8008,1080,1890840
BANKNIFTY-I,2016-08-01,11:00:59,19094.8008,19095.0000,19088.0000,19094.9492,2800,1893080
BANKNIFTY-I,2016-08-01,11:01:59,19091.4492,19094.3008,19087.0000,19090.8496,2600,1893080
BANKNIFTY-I,2016-08-01,11:02:59,19090.8496,19093.4492,19090.0508,19093.4492,560,1893080
BANKNIFTY-I,2016-08-01,11:03:59,19093.4492,19093.4492,19085.9492,19085.9492,1080,1893640
BANKNIFTY-I,2016-08-01,11:04:59,19085.9492,19088.8008,19085.9492,19087.3496,1600,1893640
BANKNIFTY-I,2016-08-01,11:05:59,19087.3496,19088.5508,19081.5996,19081.5996,3760,1893640
BANKNIFTY-I,2016-08-01,11:06:59,19081.5996,19081.5996,19066.0000,19077.8496,13840,1896760
BANKNIFTY-I,2016-08-01,11:07:59,19075.3008,19078.4492,19071.0000,19078.0000,3840,1896760
BANKNIFTY-I,2016-08-01,11:08:59,19075.2500,19079.9492,19070.1504,19070.1504,4880,1896760
BANKNIFTY-I,2016-08-01,11:09:59,19070.1504,19076.9492,19070.0000,19074.0996,2800,1899480
BANKNIFTY-I,2016-08-01,11:10:59,19074.0996,19078.4004,19071.9004,19073.5000,1960,1899480
BANKNIFTY-I,2016-08-01,11:11:59,19073.5000,19075.0000,19071.0000,19074.9492,1960,1899480
BANKNIFTY-I,2016-08-01,11:12:59,19077.0000,19084.9492,19075.0996,19084.0000,2360,1900040
BANKNIFTY-I,2016-08-01,11:13:59,19081.9004,19086.0996,19081.9004,19085.4492,4000,1900040
BANKNIFTY-I,2016-08-01,11:14:59,19086.0000,19086.0000,19075.0000,19077.9492,3320,1900040
BANKNIFTY-I,2016-08-01,11:15:59,19077.9492,19082.9492,19075.0000,19080.0508,1600,1902480
BANKNIFTY-I,2016-08-01,11:16:59,19080.0508,19090.4492,19080.0508,19087.0996,1920,1902480
BANKNIFTY-I,2016-08-01,11:17:59,19087.0996,19090.1504,19084.5508,19086.1504,3360,1902480
BANKNIFTY-I,2016-08-01,11:18:59,19087.3008,19093.3008,19085.0000,19092.0000,1200,1901000
BANKNIFTY-I,2016-08-01,11:19:59,19092.0000,19092.0000,19088.0000,19088.0000,440,1901000
BANKNIFTY-I,2016-08-01,11:20:59,19088.0000,19088.0000,19084.3008,19088.0000,1320,1901000
BANKNIFTY-I,2016-08-01,11:21:59,19088.0000,19092.0000,19085.5508,19091.0000,8040,1900840
BANKNIFTY-I,2016-08-01,11:22:59,19091.0000,19091.9004,19085.0000,19088.0000,4440,1900840
BANKNIFTY-I,2016-08-01,11:23:59,19088.0000,19088.0000,19083.0508,19086.0508,1760,1900840
BANKNIFTY-I,2016-08-01,11:24:59,19086.0508,19088.0000,19083.0508,19084.0000,1640,1904720
BANKNIFTY-I,2016-08-01,11:25:59,19084.0000,19085.8008,19081.0000,19082.0000,1400,1904720
BANKNIFTY-I,2016-08-01,11:26:59,19082.0000,19086.9004,19081.0000,19084.0996,1680,1904720
BANKNIFTY-I,2016-08-01,11:27:59,19084.0996,19086.6504,19076.0000,19080.0000,2000,1904720
BANKNIFTY-I,2016-08-01,11:28:59,19080.0000,19084.9004,19076.5996,19081.0000,2000,1904720
BANKNIFTY-I,2016-08-01,11:29:59,19081.0000,19085.0000,19080.0000,19082.9492,1760,1904720
BANKNIFTY-I,2016-08-01,11:30:59,19082.9492,19086.0000,19079.8008,19079.8008,2680,1905560
BANKNIFTY-I,2016-08-01,11:31:59,19079.8008,19079.8008,19067.6992,19071.9004,7360,1905560
BANKNIFTY-I,2016-08-01,11:32:59,19071.9004,19071.9004,19066.3496,19069.5508,2720,1905560
BANKNIFTY-I,2016-08-01,11:33:59,19070.0000,19084.0000,19069.5508,19083.0000,2080,1909280
BANKNIFTY-I,2016-08-01,11:34:59,19083.0000,19085.3008,19078.0000,19084.9492,3000,1909280
BANKNIFTY-I,2016-08-01,11:35:59,19085.5996,19085.5996,19080.0996,19081.0000,1680,1909280
BANKNIFTY-I,2016-08-01,11:36:59,19081.0000,19081.0508,19075.0000,19077.0508,3440,1909840
BANKNIFTY-I,2016-08-01,11:37:59,19077.0508,19086.0508,19076.5996,19086.0508,3920,1909840
BANKNIFTY-I,2016-08-01,11:38:59,19086.9004,19086.9004,19080.0000,19080.0996,1800,1909840
BANKNIFTY-I,2016-08-01,11:39:59,19080.0000,19080.0996,19077.5000,19078.0996,1480,1910240
BANKNIFTY-I,2016-08-01,11:40:59,19079.0508,19080.0000,19075.5000,19079.0000,1120,1910240
BANKNIFTY-I,2016-08-01,11:41:59,19079.0000,19083.9492,19079.0000,19082.5996,3680,1910240
BANKNIFTY-I,2016-08-01,11:42:59,19082.5996,19095.0000,19082.5996,19090.0000,5400,1914200
BANKNIFTY-I,2016-08-01,11:43:59,19090.0000,19099.9004,19088.3496,19098.9492,4040,1914200
BANKNIFTY-I,2016-08-01,11:44:59,19093.4004,19097.9004,19090.4004,19095.0000,2840,1914200
BANKNIFTY-I,2016-08-01,11:45:59,19095.0000,19095.9492,19089.9004,19089.9004,1760,1914640
BANKNIFTY-I,2016-08-01,11:46:59,19089.9004,19095.8496,19088.0508,19091.1992,2040,1914640
BANKNIFTY-I,2016-08-01,11:47:59,19090.2500,19090.2500,19081.8496,19087.0000,3960,1914640
BANKNIFTY-I,2016-08-01,11:48:59,19087.0000,19091.5996,19078.5000,19091.5996,8920,1913720
